iter	Passed	Remaining
1011	70343	33920
1012	70413	33851
1013	70481	33781
1014	70551	33711
1015	70618	33641
1016	70687	33571
1017	70758	33502
1018	70829	33433
1019	70921	33374
1020	70990	33304
1021	71058	33234
1022	71128	33165
1023	71196	33095
1024	71269	33027
1025	71339	32957
1026	71409	32888
1027	71478	32818
1028	71549	32749
1029	71618	32680
1030	71687	32610
1031	71764	32544
1032	71830	32473
1033	71879	32394
1034	71953	32327
1035	72043	32266
1036	72119	32200
1037	72189	32130
1038	72259	32061
1039	72327	31991
1040	72397	31921
1041	72468	31852
1042	72537	31783
1043	72607	31713
1044	72673	31642
1045	72744	31573
1046	72813	31503
1047	72884	31434
1048	72952	31364
1049	73027	31297
1050	73097	31227
1051	73171	31160
1052	73239	31090
1053	73309	31020
1054	73378	30951
1055	73448	30881
1056	73522	30814
1057	73593	30745
1058	73662	30675
1059	73732	30605
1060	73800	30535
1061	73870	30466
1062	73939	30396
1063	74010	30327
1064	74079	30257
1065	74152	30189
1066	74218	30118
1067	74293	30051
1068	74360	29980
1069	74427	29910
1070	74493	29839
1071	74561	29768
1072	74627	29698
1073	74696	29628
1074	74763	29557
1075	74832	29487
1076	74898	29417
1077	74967	29347
1078	75034	29276
1079	75103	29206
1080	75166	29134
1081	75236	29065
1082	75315	28999
1083	75383	28929
1084	75464	28864
1085	75531	28793
1086	75597	28723
1087	75663	28652
1088	75730	28581
1089	75804	28513
1090	75872	28443
1091	75940	28373
1092	76006	28302
1093	76064	28228
1094	76131	28158
1095	76192	28085
1096	76263	28016
1097	76336	27948
1098	76405	27878
1099	76489	27814
1100	76560	27745
1101	76628	27675
1102	76703	27607
1103	76774	27538
1104	76843	27469
1105	76914	27399
1106	76986	27331
1107	77057	27262
1108	77127	27192
1109	77197	27123
1110	77266	27053
1111	77338	26985
1112	77411	26916
1113	77479	26846
1114	77552	26778
1115	77618	26707
1116	77687	26637
1117	77759	26569
1118	77832	26500
1119	77901	26430
1120	77979	26364
1121	78046	26293
1122	78116	26224
1123	78186	26154
1124	78256	26085
1125	78334	26018
1126	78400	25947
1127	78472	25879
1128	78538	25808
1129	78610	25739
1130	78678	25669
1131	78754	25602
1132	78823	25532
1133	78893	25463
1134	78962	25393
1135	79034	25324
1136	79101	25254
1137	79172	25184
1138	79246	25116
1139	79305	25043
1140	79381	24976
1141	79465	24911
1142	79531	24840
1143	79616	24775
1144	79687	24706
1145	79757	24637
1146	79800	24559
1147	79873	24490
1148	79944	24421
1149	80018	24353
1150	80088	24283
1151	80160	24215
1152	80230	24145
1153	80303	24077
1154	80371	24007
1155	80443	23938
1156	80513	23868
1157	80592	23801
1158	80662	23732
1159	80734	23663
1160	80814	23596
1161	80887	23528
1162	80962	23460
1163	81032	23390
1164	81106	23322
1165	81174	23252
1166	81243	23182
1167	81318	23114
1168	81389	23045
1169	81458	22975
1170	81530	22906
1171	81600	22837
1172	81653	22762
1173	81725	22693
1174	81795	22624
1175	81865	22554
1176	81937	22485
1177	82006	22416
1178	82075	22346
1179	82146	22276
1180	82212	22206
1181	82282	22136
1182	82341	22064
1183	82412	21995
1184	82481	21925
1185	82548	21855
1186	82615	21784
1187	82681	21714
1188	82756	21646
1189	82831	21577
1190	82899	21507
1191	82971	21438
1192	83042	21369
1193	83113	21300
1194	83184	21231
1195	83256	21162
1196	83323	21091
1197	83392	21022
1198	83463	20952
1199	83533	20883
1200	83602	20813
1201	83674	20744
1202	83751	20676
1203	83824	20607
1204	83895	20538
1205	83963	20468
1206	84029	20398
1207	84091	20326
1208	84160	20256
1209	84224	20186
1210	84289	20115
1211	84351	20043
1212	84414	19972
1213	84482	19902
1214	84545	19831
1215	84618	19762
1216	84684	19692
1217	84754	19622
1218	84822	19553
1219	84889	19482
1220	84960	19413
1221	85031	19344
1222	85101	19274
1223	85170	19205
1224	85243	19136
1225	85313	19066
1226	85381	18996
1227	85458	18928
1228	85530	18859
1229	85603	18790
1230	85674	18721
1231	85743	18652
1232	85812	18582
1233	85882	18512
1234	85951	18443
1235	86022	18373
1236	86095	18304
1237	86165	18235
1238	86233	18165
1239	86302	18095
1240	86371	18025
1241	86463	17961
1242	86532	17891
1243	86604	17822
1244	86673	17752
1245	86743	17682
1246	86815	17613
1247	86888	17544
1248	86961	17475
1249	87038	17407
1250	87110	17338
1251	87180	17269
1252	87251	17199
1253	87321	17129
1254	87388	17059
1255	87454	16989
1256	87524	16919
1257	87594	16850
1258	87661	16780
1259	87733	16711
1260	87802	16641
1261	87872	16571
1262	87937	16501
1263	88006	16431
1264	88076	16362
1265	88123	16288
1266	88195	16219
1267	88266	16149
1268	88334	16079
1269	88403	16010
1270	88473	15940
1271	88547	15871
1272	88616	15801
1273	88686	15732
1274	88754	15662
1275	88824	15593
1276	88894	15523
1277	88964	15453
1278	89034	15384
1279	89103	15314
1280	89172	15244
1281	89242	15175
1282	89320	15107
1283	89389	15037
1284	89459	14967
1285	89528	14898
1286	89598	14828
1287	89667	14758
1288	89740	14689
1289	89807	14619
1290	89877	14550
1291	89945	14480
1292	90011	14410
1293	90081	14340
1294	90149	14270
1295	90218	14201
1296	90286	14131
1297	90355	14061
1298	90424	13991
1299	90492	13921
1300	90568	13853
1301	90637	13783
1302	90706	13713
1303	90775	13644
1304	90849	13575
1305	90920	13505
1306	90989	13436
1307	91058	13366
1308	91128	13296
1309	91197	13227
1310	91264	13157
1311	91331	13087
1312	91398	13017
1313	91471	12947
1314	91542	12878
1315	91613	12809
1316	91682	12739
1317	91759	12670
1318	91830	12601
1319	91900	12531
1320	91970	12462
1321	92040	12392
1322	92110	12323
1323	92182	12253
1324	92250	12184
1325	92321	12114
1326	92389	12044
1327	92456	11974
1328	92525	11905
1329	92597	11835
1330	92667	11766
1331	92738	11696
1332	92806	11626
1333	92876	11557
1334	92944	11487
1335	93017	11418
1336	93084	11348
1337	93153	11278
1338	93221	11208
1339	93289	11139
1340	93357	11069
1341	93430	11000
1342	93498	10930
1343	93570	10860
1344	93636	10790
1345	93704	10720
1346	93771	10651
1347	93840	10581
1348	93908	10511
1349	93977	10441
1350	94044	10371
1351	94109	10301
1352	94176	10232
1353	94246	10162
1354	94317	10092
1355	94388	10023
1356	94457	9953
1357	94527	9884
1358	94595	9814
1359	94665	9744
1360	94737	9675
1361	94808	9606
1362	94876	9536
1363	94940	9466
1364	95009	9396
1365	95076	9326
1366	95146	9257
1367	95216	9187
1368	95286	9117
1369	95352	9048
1370	95420	8978
1371	95486	8908
1372	95552	8838
1373	95621	8768
1374	95689	8699
1375	95757	8629
1376	95828	8559
1377	95897	8490
1378	95966	8420
1379	96034	8350
1380	96101	8281
1381	96169	8211
1382	96245	8142
1383	96312	8072
1384	96381	8002
1385	96454	7933
1386	96523	7863
1387	96592	7794
1388	96657	7724
1389	96725	7654
1390	96796	7585
1391	96865	7515
1392	96933	7445
1393	97003	7376
1394	97072	7306
1395	97143	7237
1396	97200	7166
1397	97268	7096
1398	97332	7026
1399	97400	6957
1400	97466	6887
1401	97535	6817
1402	97604	6748
1403	97673	6678
1404	97742	6608
1405	97809	6539
1406	97882	6469
1407	97953	6400
1408	98024	6330
1409	98093	6261
1410	98161	6191
1411	98230	6122
1412	98298	6052
1413	98368	5982
1414	98436	5913
1415	98506	5843
1416	98574	5773
1417	98644	5704
1418	98711	5634
1419	98781	5565
1420	98850	5495
1421	98918	5425
1422	98987	5356
1423	99058	5286
1424	99131	5217
1425	99200	5147
1426	99268	5078
1427	99336	5008
1428	99401	4938
1429	99469	4869
1430	99539	4799
1431	99609	4730
1432	99679	4660
1433	99748	4590
1434	99814	4521
1435	99882	4451
1436	99952	4382
1437	100022	4312
1438	100091	4242
1439	100160	4173
1440	100229	4103
1441	100302	4034
1442	100371	3964
1443	100439	3895
1444	100506	3825
1445	100575	3755
1446	100642	3686
1447	100703	3616
1448	100771	3546
1449	100839	3477
1450	100905	3407
1451	100974	3338
1452	101042	3268
1453	101108	3198
1454	101179	3129
1455	101247	3059
1456	101318	2990
1457	101389	2920
1458	101458	2851
1459	101524	2781
1460	101597	2712
1461	101639	2641
1462	101707	2572
1463	101776	2502
1464	101849	2433
1465	101926	2363
1466	102000	2294
1467	102068	2224
1468	102137	2155
1469	102206	2085
1470	102276	2016
1471	102345	1946
1472	102407	1877
1473	102475	1807
1474	102544	1738
1475	102612	1668
1476	102681	1598
1477	102747	1529
1478	102823	1459
1479	102891	1390
1480	102960	1320
1481	103026	1251
1482	103092	1181
1483	103157	1112
1484	103226	1042
1485	103299	973
1486	103367	903
1487	103434	834
1488	103501	764
1489	103570	695
1490	103640	625
1491	103709	556
1492	103778	486
1493	103848	417
1494	103917	347
1495	103985	278
1496	104055	208
1497	104124	139
1498	104192	69
1499	104260	0
